Society,Year,T_Offset,sigma_V,mean_V
Argentina,1986,T+36,1.7907999010817166,8.3125
Argentina,1987,T+37,1.5528775133372792,6.0
Argentina,1988,T+38,1.7007876326656923,3.4124999999999996
Argentina,1989,T+39,2.9154453225144574,-1.2375
Argentina,1954,T+4,0.9218575966880287,6.9125
Argentina,1990,T+40,1.2229209763045665,4.3125
Argentina,1991,T+41,1.093813773650968,7.625
Argentina,1992,T+42,1.1630471062809844,7.6875
Argentina,1993,T+43,1.3946325680981353,8.925
Argentina,1994,T+44,1.382285891454545,8.875
Argentina,1995,T+45,1.625686668105863,9.0
Argentina,1996,T+46,1.7474471175321524,9.125
Argentina,1997,T+47,1.5146899729930592,9.4
Argentina,1998,T+48,1.2224097980160802,8.3
Argentina,1999,T+49,1.3281969518324994,6.3125
Argentina,1955,T+5,1.159972290309434,1.7625000000000002
Argentina,2000,T+50,1.862362171314392,3.2625
Argentina,2001,T+51,3.1066461015056093,-1.2625
Argentina,2002,T+52,1.996738411939402,0.48750000000000004
Argentina,2003,T+53,1.133893419027682,4.75
Argentina,2004,T+54,1.2817398889233114,7.0
Argentina,2005,T+55,1.0287822204640096,7.8875
Argentina,2006,T+56,1.0405184147474624,7.9625
Argentina,2007,T+57,1.4207015369678664,8.5125
Argentina,2008,T+58,1.0649446665705893,6.4625
Argentina,2009,T+59,1.0606601717798214,6.375
Argentina,1956,T+6,1.1551128578133458,4.55
Argentina,2010,T+60,0.7763237542601488,7.5625
Argentina,2011,T+61,0.7763237542601488,7.5625
Argentina,2012,T+62,0.8782084035125148,5.9375
Argentina,2013,T+63,0.464258240945397,4.9875
Argentina,2014,T+64,1.6115099396883303,3.8375
Argentina,2015,T+65,1.2732831578246844,5.987500000000001
Argentina,2016,T+66,1.0042765697612528,6.65
Argentina,2017,T+67,0.5257647491307984,7.275
Argentina,2018,T+68,1.7352953639078277,3.4625
Argentina,2019,T+69,1.5305811221325614,2.9375
Argentina,1957,T+7,0.590248131841904,7.0625
Argentina,2020,T+70,2.2459089792013263,3.3875
Argentina,2021,T+71,1.5827191791344413,3.775
Argentina,2022,T+72,1.8310321055155128,1.3125
Argentina,2023,T+73,2.2219682394541236,0.1500000000000002
Argentina,2024,T+74,1.685018016012207,1.625
Argentina,2025,T+75,1.4111798508441689,2.1
Argentina,1958,T+8,0.0,7.5
Argentina,1959,T+9,1.2895181824453437,6.45
Australia,1900,T+0,1.9895710233974704,8.7125
Australia,1901,T+1,1.6651362020653362,10.5875
Australia,1910,T+10,1.5417985786550898,10.65
Australia,2000,T+100,2.3909053873854087,11.775
Australia,2001,T+101,2.074160759715325,10.525
Australia,2002,T+102,2.7036681432031244,9.7125
Australia,2003,T+103,3.1149122895241486,9.3375
Australia,2004,T+104,2.7036681432031244,9.7125
Australia,2005,T+105,3.0123258693005215,9.4625
Australia,2006,T+106,3.0312361928993354,9.3375
Australia,2007,T+107,2.746913852723765,10.4625
Australia,2008,T+108,1.6465873800075113,7.637499999999999
Australia,2009,T+109,2.456151170312725,8.3875
Australia,1911,T+11,1.5417985786550898,10.65
Australia,2010,T+110,2.8717528246202324,7.887499999999999
Australia,2011,T+111,2.370314927840361,7.887499999999999
Australia,2012,T+112,1.9740730193471274,8.2625
Australia,2013,T+113,1.9740730193471274,8.2625
Australia,2014,T+114,2.823846161329817,7.0375
Australia,2015,T+115,2.898737409878406,7.1625
Australia,2016,T+116,2.6068248338324755,7.2875
Australia,2017,T+117,2.2668023418778396,7.2875
Australia,2018,T+118,3.141399824464065,7.0625
Australia,2019,T+119,1.5125664094039448,6.5249999999999995
Australia,1912,T+12,1.5417985786550898,10.65
Australia,2020,T+120,1.7992061741620549,5.699999999999999
Australia,2021,T+121,1.3448313755156922,6.699999999999999
Australia,2022,T+122,1.1375883011252983,7.3374999999999995
Australia,2023,T+123,1.7814520562090435,8.275
Australia,2024,T+124,1.4609194756336552,8.4
Australia,2025,T+125,2.085322859552311,9.15
Australia,1913,T+13,1.5417985786550898,10.65
Australia,1914,T+14,1.4262838827827062,7.65
Australia,1915,T+15,1.4262838827827062,7.65
Australia,1916,T+16,2.1125475480701352,7.15
Australia,1917,T+17,2.1125475480701352,7.15
Australia,1918,T+18,1.4262838827827062,7.65
Australia,1919,T+19,1.8714013084164647,7.5249999999999995
Australia,1902,T+2,1.5417985786550898,10.65
Australia,1920,T+20,1.5818163158669392,7.5249999999999995
Australia,1921,T+21,1.3371077528969535,8.025
Australia,1922,T+22,1.3371077528969535,8.025
Australia,1923,T+23,1.3371077528969535,8.025
Australia,1924,T+24,1.3371077528969535,8.025
Australia,1925,T+25,1.3371077528969535,8.025
Australia,1926,T+26,1.3371077528969535,8.025
Australia,1927,T+27,1.3371077528969535,8.025
Australia,1928,T+28,1.7541786844967806,7.6499999999999995
Australia,1929,T+29,3.239378247221437,-0.025000000000000078
Australia,1903,T+3,1.5417985786550898,10.65
Australia,1930,T+30,3.260587151331578,-1.6653345369377348e-16
Australia,1931,T+31,3.615344283151231,-0.37500000000000006
Australia,1932,T+32,2.768573639981426,0.4249999999999999
Australia,1933,T+33,2.401190181079851,1.1500000000000001
Australia,1934,T+34,1.357979065691789,7.2124999999999995
Australia,1935,T+35,1.357979065691789,7.2124999999999995
Australia,1936,T+36,1.357979065691789,7.2124999999999995
Australia,1937,T+37,1.357979065691789,7.2124999999999995
Australia,1938,T+38,1.357979065691789,7.2124999999999995
Australia,1939,T+39,0.7845608416724054,8.2125
Australia,1904,T+4,1.5417985786550898,10.65
Australia,1940,T+40,0.7845608416724054,8.2125
Australia,1941,T+41,0.7845608416724054,8.2125
Australia,1942,T+42,1.8306419639022806,7.8375
Australia,1943,T+43,1.3943124265591058,8.0875
Australia,1944,T+44,1.5747448772964552,11.8375
Australia,1945,T+45,1.4596966416739767,11.775
Australia,1946,T+46,1.282227414641078,10.7125
Australia,1947,T+47,1.4045207621920623,10.5875
Australia,1948,T+48,1.641373553721743,10.4625
Australia,1949,T+49,1.3553465555769433,10.4625
